,label,bow_wt,bow_stem,bow_lem
0,abl,,1.0,
1,able,1.0,,1.0
2,action,1.0,1.0,1.0
3,actual,,13.0,
4,actually,13.0,,13.0
5,ago,1.0,1.0,1.0
6,almost,1.0,1.0,1.0
7,alreadi,,1.0,
8,already,1.0,,1.0
9,alright,1.0,1.0,1.0
10,also,4.0,4.0,4.0
11,alway,,1.0,
12,always,1.0,,1.0
13,anoth,,1.0,
14,another,1.0,,1.0
15,anyth,,3.0,
16,anything,3.0,,3.0
17,api,1.0,1.0,1.0
18,app,7.0,7.0,7.0
19,applic,,7.0,
20,application,7.0,,7.0
21,argument,1.0,1.0,1.0
22,around,1.0,1.0,1.0
23,ask,,1.0,
24,asking,1.0,,1.0
25,aspect,,1.0,1.0
26,aspects,1.0,,
27,assembl,,1.0,
28,assemble,1.0,,1.0
29,assert,1.0,1.0,1.0
30,avoid,,1.0,
31,avoided,1.0,,1.0
32,back,7.0,7.0,7.0
33,basic,,2.0,
34,basically,2.0,,2.0
35,bathroom,1.0,1.0,1.0
36,becom,,1.0,
37,become,1.0,,1.0
38,begin,1.0,2.0,1.0
39,beginning,1.0,,1.0
40,best,1.0,1.0,1.0
41,big,1.0,1.0,1.0
42,bill,1.0,1.0,1.0
43,bit,2.0,2.0,2.0
44,bottom,1.0,1.0,1.0
45,bright,,1.0,
46,brightness,1.0,,1.0
47,bring,2.0,3.0,2.0
48,brings,1.0,,1.0
49,build,3.0,5.0,3.0
50,building,2.0,,2.0
51,bunch,3.0,3.0,3.0
52,button,15.0,15.0,15.0
53,call,,2.0,
54,called,2.0,,2.0
55,case,5.0,8.0,8.0
56,cases,3.0,,
57,chang,,4.0,
58,change,3.0,,4.0
59,changes,1.0,,
60,class,2.0,2.0,2.0
61,click,10.0,12.0,10.0
62,clicked,2.0,,2.0
63,cliff,1.0,1.0,1.0
64,close,1.0,1.0,1.0
65,code,5.0,5.0,5.0
66,color,1.0,1.0,1.0
67,command,,1.0,
68,commander,1.0,,1.0
69,compil,,1.0,
70,compiled,1.0,,1.0
71,complet,,2.0,
72,completed,1.0,,1.0
73,completes,1.0,,1.0
74,compon,,3.0,
75,component,1.0,,3.0
76,components,2.0,,
77,confus,,1.0,
78,confusion,1.0,,1.0
79,consist,,2.0,
80,consistency,1.0,,1.0
81,consistent,1.0,,1.0
82,convert,2.0,2.0,2.0
83,corner,1.0,1.0,1.0
84,correct,1.0,1.0,1.0
85,correctli,,1.0,
86,correctly,1.0,,1.0
87,could,2.0,2.0,2.0
88,coupl,,1.0,
89,couple,1.0,,1.0
90,cours,,4.0,
91,course,4.0,,4.0
92,creat,,1.0,
93,create,1.0,,1.0
94,date,1.0,1.0,1.0
95,delay,1.0,1.0,1.0
96,delgado,1.0,1.0,1.0
97,demonstr,,1.0,
98,demonstrate,1.0,,1.0
99,depend,,3.0,
100,dependencies,1.0,,
101,dependency,,,1.0
102,depends,2.0,,2.0
103,didnt,3.0,3.0,3.0
104,differ,,3.0,
105,different,3.0,,3.0
106,directli,,1.0,
107,directly,1.0,,1.0
108,disabl,,5.0,
109,disabled,5.0,,5.0
110,doesnt,1.0,1.0,1.0
111,dont,5.0,5.0,5.0
112,effect,,5.0,5.0
113,effects,5.0,,
114,els,,1.0,
115,else,1.0,,1.0
116,enabl,,3.0,
117,enable,1.0,,1.0
118,enabled,2.0,,2.0
119,end,4.0,4.0,4.0
120,enough,1.0,1.0,1.0
121,error,38.0,38.0,38.0
122,especi,,1.0,
123,especially,1.0,,1.0
124,even,1.0,1.0,1.0
125,everi,,2.0,
126,every,2.0,,2.0
127,everyon,,1.0,
128,everyone,1.0,,1.0
129,exampl,,7.0,
130,example,7.0,,7.0
131,extend,1.0,1.0,1.0
132,extens,,1.0,
133,extension,1.0,,1.0
134,famili,,1.0,
135,family,1.0,,1.0
136,far,1.0,1.0,1.0
137,file,3.0,3.0,3.0
138,find,1.0,1.0,1.0
139,first,3.0,3.0,3.0
140,fix,1.0,1.0,1.0
141,framework,1.0,1.0,1.0
142,fxml,2.0,2.0,2.0
143,get,2.0,2.0,2.0
144,give,2.0,2.0,2.0
145,glee,1.0,1.0,1.0
146,go,,1.0,
147,goali,,1.0,
148,goalie,1.0,,1.0
149,going,1.0,,1.0
150,good,4.0,4.0,4.0
151,gooey,6.0,6.0,6.0
152,gradual,,1.0,
153,gradually,1.0,,1.0
154,guess,1.0,1.0,1.0
155,guest,,1.0,1.0
156,guests,1.0,,
157,gui,1.0,1.0,1.0
158,guy,1.0,1.0,1.0
159,happen,1.0,3.0,1.0
160,happened,1.0,,1.0
161,happens,1.0,,1.0
162,helper,1.0,1.0,1.0
163,hope,,1.0,
164,hopefully,1.0,,1.0
165,idea,4.0,6.0,6.0
166,ideas,2.0,,
167,ill,4.0,4.0,4.0
168,imagin,,3.0,
169,imagine,3.0,,3.0
170,import,,2.0,
171,important,2.0,,2.0
172,includ,,1.0,
173,include,1.0,,1.0
174,inform,,1.0,
175,informative,1.0,,1.0
176,input,3.0,3.0,3.0
177,inquiri,,1.0,
178,inquiry,1.0,,1.0
179,interact,1.0,3.0,1.0
180,interaction,2.0,,2.0
181,interfac,,3.0,
182,interface,3.0,,3.0
183,intern,,1.0,
184,internal,1.0,,1.0
185,jason,1.0,1.0,1.0
186,job,2.0,2.0,2.0
187,kind,2.0,2.0,2.0
188,kobe,1.0,1.0,1.0
189,let,2.0,6.0,6.0
190,lets,4.0,,
191,like,4.0,4.0,4.0
192,line,,1.0,1.0
193,lines,1.0,,
194,link,1.0,1.0,1.0
195,littl,,3.0,
196,little,3.0,,3.0
197,load,3.0,4.0,3.0
198,loading,1.0,,1.0
199,long,1.0,1.0,1.0
200,look,7.0,7.0,7.0
201,lot,2.0,2.0,2.0
202,lower,1.0,1.0,1.0
203,main,4.0,4.0,4.0
204,make,2.0,2.0,2.0
205,may,2.0,2.0,2.0
206,mayb,,2.0,
207,maybe,2.0,,2.0
208,mean,1.0,1.0,1.0
209,method,,1.0,1.0
210,methods,1.0,,
211,might,3.0,3.0,3.0
212,mous,,4.0,
213,mouse,4.0,,4.0
214,move,3.0,4.0,3.0
215,moving,1.0,,1.0
216,music,1.0,1.0,1.0
217,must,2.0,2.0,2.0
218,necessari,,1.0,
219,necessary,1.0,,1.0
220,need,4.0,5.0,5.0
221,needs,1.0,,
222,night,1.0,1.0,1.0
223,nobodi,,1.0,
224,nobody,1.0,,1.0
225,noth,,1.0,
226,nothing,1.0,,1.0
227,notic,,1.0,
228,notice,1.0,,1.0
229,obvious,,1.0,
230,obviously,1.0,,1.0
231,often,1.0,1.0,1.0
232,okay,4.0,4.0,4.0
233,one,4.0,4.0,4.0
234,option,,1.0,1.0
235,options,1.0,,
236,order,1.0,1.0,1.0
237,otherwis,,1.0,
238,otherwise,1.0,,1.0
239,pacif,,1.0,
240,pacific,1.0,,1.0
241,part,1.0,1.0,1.0
242,phone,1.0,1.0,1.0
243,play,2.0,2.0,2.0
244,possibl,,1.0,
245,possible,1.0,,1.0
246,press,1.0,1.0,1.0
247,product,1.0,1.0,1.0
248,programmat,,1.0,
249,programmatically,1.0,,1.0
250,project,1.0,1.0,1.0
251,provid,,5.0,
252,provide,2.0,,2.0
253,provided,2.0,,2.0
254,provides,1.0,,1.0
255,purpos,,2.0,
256,purpose,2.0,,2.0
257,put,1.0,2.0,1.0
258,putting,1.0,,1.0
259,quick,1.0,1.0,1.0
260,quickli,,1.0,
261,quickly,1.0,,1.0
262,rap,1.0,1.0,1.0
263,rather,1.0,1.0,1.0
264,realli,,1.0,
265,really,1.0,,1.0
266,recogn,,1.0,
267,recognized,1.0,,1.0
268,renaiss,,1.0,
269,renaissance,1.0,,1.0
270,restart,1.0,1.0,1.0
271,right,14.0,14.0,14.0
272,robot,3.0,3.0,3.0
273,round,,1.0,1.0
274,rounds,1.0,,
275,run,8.0,9.0,8.0
276,running,1.0,,1.0
277,said,1.0,1.0,1.0
278,sampl,,2.0,
279,sample,2.0,,2.0
280,save,2.0,2.0,2.0
281,say,4.0,7.0,5.0
282,saying,2.0,,2.0
283,says,1.0,,
284,scene,2.0,2.0,2.0
285,schedul,,1.0,
286,schedule,1.0,,1.0
287,screen,1.0,1.0,1.0
288,second,2.0,2.0,2.0
289,see,5.0,5.0,5.0
290,seen,2.0,2.0,2.0
291,select,1.0,1.0,1.0
292,sens,,1.0,
293,sense,1.0,,1.0
294,set,1.0,1.0,1.0
295,seymour,1.0,1.0,1.0
296,sfx,1.0,1.0,1.0
297,similar,2.0,2.0,2.0
298,simpl,,1.0,
299,simple,1.0,,1.0
300,sinc,,1.0,
301,since,1.0,,1.0
302,singl,,1.0,
303,single,1.0,,1.0
304,someth,,3.0,
305,something,3.0,,3.0
306,sometim,,1.0,
307,sometimes,1.0,,1.0
308,somewher,,1.0,
309,somewhere,1.0,,1.0
310,soon,3.0,3.0,3.0
311,sort,2.0,2.0,2.0
312,southern,1.0,1.0,1.0
313,stand,1.0,1.0,1.0
314,start,5.0,6.0,6.0
315,starts,1.0,,
316,state,1.0,1.0,1.0
317,suppos,,1.0,
318,supposed,1.0,,1.0
319,sure,1.0,1.0,1.0
320,swing,1.0,1.0,1.0
321,system,2.0,2.0,2.0
322,tab,1.0,1.0,1.0
323,take,6.0,6.0,6.0
324,tasia,1.0,1.0,1.0
325,task,1.0,1.0,1.0
326,tell,1.0,1.0,1.0
327,term,,1.0,1.0
328,terms,1.0,,
329,test,24.0,39.0,30.0
330,testing,9.0,,9.0
331,tests,6.0,,
332,text,6.0,6.0,6.0
333,that,,7.0,
334,thats,7.0,,7.0
335,there,,3.0,3.0
336,theres,3.0,,
337,thing,2.0,11.0,11.0
338,things,9.0,,
339,think,2.0,2.0,2.0
340,time,4.0,4.0,4.0
341,titl,,1.0,
342,title,1.0,,1.0
343,translat,,2.0,
344,translate,1.0,,1.0
345,translation,1.0,,1.0
346,tri,,2.0,
347,try,2.0,,2.0
348,turn,1.0,1.0,1.0
349,two,2.0,2.0,2.0
350,unit,1.0,1.0,1.0
351,upcom,,1.0,
352,upcoming,1.0,,1.0
353,uruguay,1.0,1.0,1.0
354,us,,,1.0
355,use,7.0,13.0,7.0
356,user,3.0,3.0,3.0
357,uses,1.0,,
358,using,5.0,,5.0
359,verifi,,3.0,
360,verify,3.0,,3.0
361,versu,,1.0,
362,versus,1.0,,1.0
363,video,2.0,2.0,2.0
364,voic,,1.0,
365,voice,1.0,,1.0
366,volum,,1.0,
367,volume,1.0,,1.0
368,want,8.0,8.0,8.0
369,way,3.0,4.0,4.0
370,ways,1.0,,
371,welcom,,1.0,
372,welcome,1.0,,1.0
373,well,3.0,3.0,3.0
374,weve,2.0,2.0,2.0
375,whether,1.0,1.0,1.0
376,whole,4.0,4.0,4.0
377,window,1.0,1.0,1.0
378,without,1.0,1.0,1.0
379,work,1.0,3.0,3.0
380,works,2.0,,
381,would,2.0,2.0,2.0
382,write,5.0,5.0,5.0
383,xml,1.0,1.0,1.0
384,yeah,3.0,3.0,3.0
385,youll,1.0,1.0,1.0
386,your,,2.0,
387,youre,2.0,,2.0
